VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-01-01 00:30:53,2016-01-01 00:40:04,N,1,-73.980384826660156,40.678001403808594,-73.982398986816406,40.66192626953125,2,1.76,9,0.5,0.5,3.09,0,,0.3,13.39,1,1
2,2016-01-01 00:24:14,2016-01-01 00:39:52,N,1,-73.970344543457031,40.672691345214844,-73.944015502929687,40.698410034179688,1,3.31,13.5,0.5,0.5,0,0,,0.3,14.8,1,1
2,2016-01-01 00:30:03,2016-01-01 00:39:51,N,1,-73.946258544921875,40.821098327636719,-73.967994689941406,40.803050994873047,1,2.21,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,2016-01-01 00:32:58,2016-01-01 00:39:53,N,1,-73.983039855957031,40.677593231201172,-73.997421264648437,40.683887481689453,1,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-01-01 00:34:53,2016-01-01 00:39:08,N,1,-73.943099975585938,40.6923828125,-73.957466125488281,40.690715789794922,6,.61,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-01-01 00:19:41,2016-01-01 00:39:32,N,1,-73.942230224609375,40.754131317138672,-73.960029602050781,40.690483093261719,5,5.34,19.5,0.5,0.5,0,0,,0.3,20.8,2,1
2,2016-01-01 00:22:06,2016-01-01 00:39:55,N,1,-73.830673217773438,40.759479522705078,-73.7598876953125,40.720901489257813,5,6.66,21,0.5,0.5,0,0,,0.3,22.3,2,1
2,2016-01-01 00:29:46,2016-01-01 00:40:04,N,1,-73.908607482910156,40.875617980957031,-73.931243896484375,40.813980102539062,1,5.03,16,0.5,0.5,0,0,,0.3,17.3,2,1
2,2016-01-01 00:19:02,2016-01-01 00:39:58,N,1,-73.991981506347656,40.690624237060547,-73.922996520996094,40.669261932373047,1,4.33,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,2016-01-01 00:21:06,2016-01-02 00:18:46,N,1,-73.940780639648437,40.716381072998047,-73.976936340332031,40.738826751708984,1,5.66,19,0.5,0.5,0,0,,0.3,20.3,1,1
2,2016-01-01 00:26:34,2016-01-01 00:39:33,N,1,-73.913810729980469,40.848731994628906,-73.948738098144531,40.813407897949219,1,3.31,13,0.5,0.5,0,0,,0.3,14.3,1,1
2,2016-01-01 00:26:49,2016-01-01 00:39:36,N,1,-73.96405029296875,40.807868957519531,-73.935958862304688,40.803581237792969,1,1.97,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-01-01 00:26:06,2016-01-01 00:38:49,N,1,-73.938980102539062,40.805255889892578,-73.956474304199219,40.767951965332031,1,3.09,12,0.5,0.5,3,0,,0.3,16.3,1,1
2,2016-01-01 00:22:13,2016-01-01 00:39:58,N,1,-73.962966918945313,40.804119110107422,-73.925003051757813,40.826053619384766,1,3.32,14.5,0.5,0.5,3.16,0,,0.3,18.96,1,1
2,2016-01-01 00:24:17,2016-01-01 00:39:09,N,1,-73.953048706054688,40.655841827392578,-73.964210510253906,40.706138610839844,1,3.78,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
2,2016-01-01 00:34:53,2016-01-01 00:39:45,N,1,-73.95166015625,40.71380615234375,-73.941520690917969,40.713687896728516,1,.58,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2016-01-01 00:27:55,2016-01-01 00:40:03,N,1,-73.925376892089844,40.762107849121094,-73.951995849609375,40.773113250732422,1,3.57,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2016-01-01 00:17:34,2016-01-01 00:40:12,N,1,-73.945259094238281,40.807956695556641,-73.946624755859375,40.715042114257813,2,9.97,30.5,0.5,0.5,7.47,5.54,,0.3,44.81,1,1
2,2016-01-01 00:27:59,2016-01-01 00:39:48,N,1,-73.987663269042969,40.69036865234375,-73.965400695800781,40.676979064941406,1,1.78,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-01-01 00:27:21,2016-01-01 00:38:44,N,1,-73.923553466796875,40.687168121337891,-73.933021545410156,40.672500610351562,1,1.66,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2016-01-01 00:31:12,2016-01-01 00:39:36,N,1,-73.869796752929688,40.749164581298828,-73.882400512695312,40.755821228027344,1,1.35,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-01-01 00:31:42,2016-01-01 00:39:58,N,1,-73.891548156738281,40.746631622314453,-73.882530212402344,40.731773376464844,1,1.56,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-01-01 00:28:06,2016-01-01 00:39:17,N,1,-73.954498291015625,40.805641174316406,-73.937934875488281,40.796161651611328,1,1.64,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-01-01 00:31:08,2016-01-01 00:39:50,N,1,-73.953811645507813,40.81683349609375,-73.952301025390625,40.803318023681641,1,1.25,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-01-01 00:14:07,2016-01-01 00:38:56,N,1,-73.957649230957031,40.729763031005859,-73.909233093261719,40.685775756835938,5,4.54,18.5,0.5,0.5,3.96,0,,0.3,23.76,1,1
2,2016-01-01 00:31:01,2016-01-01 00:39:54,N,1,-73.899215698242188,40.746162414550781,-73.877593994140625,40.747028350830078,1,1.49,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-01-01 00:26:21,2016-01-01 00:38:53,N,1,-73.869377136230469,40.734058380126953,-73.900054931640625,40.745933532714844,1,2.33,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,2016-01-01 00:15:24,2016-01-01 00:40:15,N,1,-73.957565307617188,40.722209930419922,-73.956779479980469,40.766586303710937,1,7.18,24.5,0.5,0.5,0,0,,0.3,25.8,1,1
2,2016-01-01 00:37:08,2016-01-01 00:39:52,N,1,-73.977073669433594,40.683998107910156,-73.978530883789063,40.689537048339844,1,.45,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2016-01-01 00:22:07,2016-01-01 00:39:46,N,1,-73.927299499511719,40.703895568847656,-73.892593383789063,40.675014495849609,1,3.51,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
2,2016-01-01 00:26:33,2016-01-01 00:39:28,N,1,-73.9515380859375,40.690036773681641,-73.938240051269531,40.708568572998047,1,2.50,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,2016-01-01 00:33:49,2016-01-01 00:39:58,N,1,-73.941307067871094,40.755275726318359,-73.936241149902344,40.773780822753906,1,2.10,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-01-01 00:21:56,2016-01-01 00:38:07,N,1,-73.948379516601563,40.813934326171875,-73.917396545410156,40.840793609619141,1,3.79,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
2,2016-01-01 00:28:08,2016-01-01 00:38:35,N,1,-73.876632690429688,40.748569488525391,-73.896034240722656,40.737037658691406,1,1.68,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2016-01-01 00:37:48,2016-01-01 00:39:54,N,1,-73.856010437011719,40.74359130859375,-73.862892150878906,40.747314453125,1,.54,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2016-01-01 00:22:58,2016-01-01 00:40:18,N,1,-73.948966979980469,40.714126586914062,-73.998825073242188,40.724105834960938,1,3.37,15,0.5,0.5,3.26,0,,0.3,19.56,1,1
2,2016-01-01 00:37:18,2016-01-01 00:39:25,N,1,-74.02337646484375,40.634841918945313,-74.017288208007813,40.641826629638672,2,.60,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2016-01-01 00:31:01,2016-01-01 00:40:06,N,1,-73.944557189941406,40.714584350585938,-73.966415405273437,40.712921142578125,1,1.46,8.5,0.5,0.5,2.94,0,,0.3,12.74,1,1
2,2016-01-01 00:35:46,2016-01-01 00:40:12,N,1,-73.84429931640625,40.721321105957031,-73.831832885742188,40.711597442626953,1,1.08,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
2,2016-01-01 00:22:48,2016-01-01 00:39:15,N,1,-73.945938110351563,40.821430206298828,-73.904380798339844,40.857185363769531,1,4.09,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,2016-01-01 00:23:46,2016-01-01 00:39:47,N,1,-73.838935852050781,40.881275177001953,-73.861030578613281,40.838985443115234,1,3.87,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
2,2016-01-01 00:31:06,2016-01-01 00:39:42,N,1,-73.92218017578125,40.740058898925781,-73.933334350585937,40.752944946289063,4,1.68,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-01-01 00:37:27,2016-01-01 00:40:17,N,1,-73.981376647949219,40.667045593261719,-73.986907958984375,40.671966552734375,2,.56,4,0.5,0.5,0,0,,0.3,5.3,1,1
2,2016-01-01 00:33:12,2016-01-01 00:40:10,N,1,-73.922256469726562,40.755271911621094,-73.945549011230469,40.755573272705078,2,1.77,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-01-01 00:30:05,2016-01-01 00:40:21,N,1,-74.011756896972656,40.679420471191406,-73.977577209472656,40.687545776367188,1,4.02,13.5,0.5,0.5,3.7,0,,0.3,18.5,1,1
2,2016-01-01 00:24:40,2016-01-01 00:40:02,N,1,-73.908111572265625,40.771198272705078,-73.852874755859375,40.726310729980469,1,5.55,18.5,0.5,0.5,0,0,,0.3,19.8,2,1
2,2016-01-01 00:19:11,2016-01-01 00:40:21,N,1,-73.8077392578125,40.700508117675781,-73.843437194824219,40.675342559814453,1,5.51,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,2016-01-01 00:35:11,2016-01-01 00:39:51,N,1,-73.84423828125,40.721328735351562,-73.852531433105469,40.726303100585938,1,.85,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-01-01 00:36:08,2016-01-01 00:39:53,N,1,-73.92987060546875,40.756538391113281,-73.942680358886719,40.751628875732422,1,.92,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-01-01 00:29:01,2016-01-01 00:40:00,N,1,-73.993743896484375,40.681739807128906,-74.01080322265625,40.6446533203125,1,3.57,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2016-01-01 00:27:18,2016-01-01 00:40:32,N,1,-73.957908630371094,40.721866607666016,-73.953804016113281,40.690376281738281,6,2.98,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1
2,2016-01-01 00:32:13,2016-01-01 00:40:29,N,1,-73.964134216308594,40.693668365478516,-73.961479187011719,40.716323852539062,1,2.11,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1
2,2016-01-01 00:24:44,2016-01-01 00:40:00,N,1,-73.956649780273438,40.716884613037109,-73.917144775390625,40.710964202880859,1,2.66,12,0.5,0.5,2.66,0,,0.3,15.96,1,1
2,2016-01-01 00:25:50,2016-01-01 00:40:32,N,1,-73.872909545898438,40.840999603271484,-73.906303405761719,40.862716674804688,1,2.92,12.5,0.5,0.5,2.76,0,,0.3,16.56,1,1
2,2016-01-01 00:33:15,2016-01-01 00:40:13,N,1,-73.918922424316406,40.765727996826172,-73.903083801269531,40.770721435546875,1,1.23,6.5,0.5,0.5,2.34,0,,0.3,10.14,1,1
2,2016-01-01 00:37:16,2016-01-01 00:40:27,N,1,-73.962936401367188,40.673812866210938,-73.951156616210937,40.673450469970703,1,.78,4.5,0.5,0.5,1.45,0,,0.3,7.25,1,1
2,2016-01-01 00:26:24,2016-01-01 00:39:28,N,1,-73.91485595703125,40.763992309570313,-73.861679077148438,40.734569549560547,1,6.53,19.5,0.5,0.5,0,0,,0.3,20.8,2,1
2,2016-01-01 00:34:21,2016-01-01 00:40:25,N,1,-73.954887390136719,40.688480377197266,-73.942024230957031,40.695468902587891,1,1.36,6.5,0.5,0.5,1.95,0,,0.3,9.75,1,1
2,2016-01-01 00:25:45,2016-01-01 00:40:43,N,1,-73.924774169921875,40.741310119628906,-73.933212280273438,40.704250335693359,1,3.68,14,0.5,0.5,3.06,0,,0.3,18.36,1,1
2,2016-01-01 00:17:02,2016-01-01 00:39:10,N,1,-73.985397338867187,40.671195983886719,-73.973663330078125,40.747455596923828,1,7.99,25.5,0.5,0.5,0,0,,0.3,26.8,2,1
2,2016-01-01 00:31:44,2016-01-01 00:40:33,N,1,-73.979454040527344,40.660800933837891,-73.965972900390625,40.634502410888672,1,2.15,9,0.5,0.5,3.09,0,,0.3,13.39,1,1
2,2016-01-01 00:31:56,2016-01-01 00:40:30,N,1,-73.919219970703125,40.758762359619141,-73.914115905761719,40.759922027587891,1,.71,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
2,2016-01-01 00:13:58,2016-01-01 00:40:38,N,1,-73.909431457519531,40.775253295898437,-74.027633666992188,40.618354797363281,1,16.95,47,0.5,0.5,3,0,,0.3,51.3,1,1
2,2016-01-01 00:32:17,2016-01-01 00:40:13,N,1,-73.9515380859375,40.743122100830078,-73.957572937011719,40.722248077392578,1,1.86,8.5,0.5,0.5,2.45,0,,0.3,12.25,1,1
2,2016-01-01 00:25:59,2016-01-01 00:39:47,N,1,-73.989311218261719,40.7015380859375,-73.962806701660156,40.679988861083984,1,3.44,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2016-01-01 00:34:15,2016-01-01 00:40:50,N,1,-73.93597412109375,40.686405181884766,-73.955711364746094,40.681285858154297,1,1.38,7,0.5,0.5,1,0,,0.3,9.3,1,1
2,2016-01-01 00:24:23,2016-01-01 00:40:09,N,1,-73.873252868652344,40.734596252441406,-73.884613037109375,40.755596160888672,1,2.72,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2016-01-01 00:38:34,2016-01-01 00:40:19,N,1,-73.95318603515625,40.803531646728516,-73.955734252929687,40.806293487548828,1,.26,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2016-01-01 00:36:33,2016-01-01 00:39:55,N,1,-73.915168762207031,40.764003753662109,-73.924598693847656,40.768386840820312,1,.60,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-01-01 00:26:12,2016-01-01 00:39:14,N,1,-73.941177368164062,40.813694000244141,-73.915489196777344,40.805973052978516,1,1.68,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2016-01-01 00:36:45,2016-01-01 00:40:36,N,1,-73.896400451660156,40.746185302734375,-73.897689819335938,40.738162994384766,1,.64,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-01-01 00:36:10,2016-01-01 00:40:12,N,1,-73.908683776855469,40.764904022216797,-73.914253234863281,40.753993988037109,1,.94,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-01-01 00:13:00,2016-01-01 00:40:59,N,1,-73.966529846191406,40.711318969726563,-73.991744995117188,40.748893737792969,1,5.86,23.5,0.5,0.5,4.96,0,,0.3,29.76,1,1
2,2016-01-01 00:24:53,2016-01-02 00:00:24,N,1,-73.944869995117187,40.813938140869141,-73.956611633300781,40.768268585205078,1,4.65,17,0.5,0.5,0,0,,0.3,18.3,2,1
2,2016-01-01 00:33:47,2016-01-01 00:40:16,N,1,-73.977165222167969,40.683547973632813,-73.966590881347656,40.682086944580078,1,1.08,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-01-01 00:25:53,2016-01-01 00:34:31,N,1,-73.921562194824219,40.766696929931641,-73.91888427734375,40.743423461914063,1,2.03,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2016-01-01 00:33:19,2016-01-01 00:39:47,N,1,-73.923500061035156,40.866977691650391,-73.935997009277344,40.851875305175781,1,1.35,7,0.5,0.5,2.08,0,,0.3,10.38,1,1
2,2016-01-01 00:22:01,2016-01-01 00:40:14,N,1,-73.88848876953125,40.747035980224609,-73.94073486328125,40.755733489990234,1,3.52,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,2016-01-01 00:21:37,2016-01-01 00:40:15,N,1,-73.9107666015625,40.7728271484375,-73.812576293945313,40.764911651611328,6,6.48,21.5,0.5,0.5,1,0,,0.3,23.8,1,1
2,2016-01-01 00:00:06,2016-01-01 00:40:56,N,1,-73.8748779296875,40.829345703125,-73.9840087890625,40.743137359619141,1,10.58,37.5,0.5,0.5,11.64,0,,0.3,50.44,1,1
2,2016-01-01 00:24:20,2016-01-01 00:40:40,N,1,-73.963180541992188,40.684745788574219,-73.998504638671875,40.694511413574219,1,2.51,12.5,0.5,0.5,2.76,0,,0.3,16.56,1,1
2,2016-01-01 00:23:51,2016-01-01 00:40:50,N,1,-73.951705932617188,40.714981079101562,-74.030609130859375,40.624397277832031,1,10.32,29,0.5,0.5,0,0,,0.3,30.3,2,1
2,2016-01-01 00:29:07,2016-01-01 00:40:47,N,1,-73.980064392089844,40.676925659179688,-73.956695556640625,40.673255920410156,1,1.79,9.5,0.5,0.5,1,0,,0.3,11.8,1,1
2,2016-01-01 00:30:52,2016-01-01 00:40:51,N,1,-73.955764770507813,40.717678070068359,-73.971305847167969,40.695751190185547,5,2.21,10,0.5,0.5,3.39,0,,0.3,14.69,1,1
2,2016-01-01 00:31:19,2016-01-01 00:40:46,N,1,-73.879920959472656,40.756248474121094,-73.923820495605469,40.755973815917969,1,2.60,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2016-01-01 00:29:49,2016-01-01 00:40:58,N,1,-73.932746887207031,40.703205108642578,-73.948394775390625,40.711231231689453,1,1.39,9,0.5,0.5,2.58,0,,0.3,12.88,1,1
2,2016-01-01 00:24:41,2016-01-02 00:00:00,N,1,-73.993324279785156,40.682712554931641,-73.955810546875,40.690887451171875,1,2.42,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,2016-01-01 00:35:01,2016-01-01 00:40:41,N,1,-73.912094116210937,40.767356872558594,-73.912559509277344,40.777435302734375,1,1.29,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2016-01-01 00:30:35,2016-01-01 00:40:59,N,1,-73.981895446777344,40.676963806152344,-73.983383178710938,40.694065093994141,2,1.43,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1
2,2016-01-01 00:27:54,2016-01-01 00:40:46,N,1,-73.924308776855469,40.743606567382813,-73.885055541992188,40.744121551513672,1,2.32,11,0.5,0.5,0,0,,0.3,12.3,2,1
2,2016-01-01 00:33:18,2016-01-01 00:40:51,N,1,-73.91845703125,40.765491485595703,-73.92901611328125,40.775867462158203,1,1.41,7,0.5,0.5,2,0,,0.3,10.3,1,1
2,2016-01-01 00:16:39,2016-01-01 00:40:28,N,1,-73.95037841796875,40.707542419433594,-73.894302368164063,40.693222045898438,6,3.50,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,2016-01-01 00:37:39,2016-01-01 00:40:58,N,1,-73.952781677246094,40.798381805419922,-73.953720092773438,40.790668487548828,1,.67,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2016-01-01 00:23:58,2016-01-01 00:39:41,N,1,-73.944381713867187,40.823806762695312,-73.909423828125,40.844715118408203,1,3.20,13.5,0.5,0.5,0,0,,0.3,14.8,2,1
2,2016-01-01 00:15:30,2016-01-01 00:40:53,N,1,-73.978439331054687,40.683986663818359,-73.994911193847656,40.769111633300781,1,6.82,24,0.5,0.5,0,0,,0.3,25.3,2,1
2,2016-01-01 00:28:36,2016-01-01 00:40:25,N,1,-73.948776245117187,40.828948974609375,-73.944839477539063,40.808826446533203,1,1.89,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2016-01-01 00:30:08,2016-01-01 00:40:43,N,1,-73.924102783203125,40.744026184082031,-73.902862548828125,40.744663238525391,1,2.18,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-01-01 00:37:18,2016-01-01 00:41:00,N,1,-73.900749206542969,40.820125579833984,-73.886405944824219,40.827510833740234,1,.80,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-01-01 00:33:41,2016-01-01 00:41:03,N,1,-73.978729248046875,40.670341491699219,-73.993385314941406,40.660446166992188,1,1.36,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-01-01 00:26:12,2016-01-01 23:50:07,N,1,-73.954978942871094,40.694721221923828,-73.959609985351563,40.729721069335938,1,3.18,12.5,0.5,0.5,2.76,0,,0.3,16.56,1,1
2,2016-01-01 00:34:38,2016-01-01 00:40:07,N,1,-73.870796203613281,40.751415252685547,-73.884262084960938,40.747642517089844,3,.88,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2016-01-01 00:33:08,2016-01-01 00:41:03,N,1,-73.893295288085938,40.754806518554687,-73.923248291015625,40.761009216308594,1,1.77,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
2,2016-01-01 00:32:40,2016-01-01 00:41:02,N,1,-73.83062744140625,40.759483337402344,-73.845428466796875,40.784271240234375,1,2.24,9,0.5,0.5,2.06,0,,0.3,12.36,1,1
2,2016-01-01 00:22:54,2016-01-01 00:39:41,N,1,-73.8048095703125,40.696079254150391,-73.862533569335938,40.681484222412109,1,3.36,14,0.5,0.5,0,0,,0.3,15.3,2,1
2,2016-01-01 00:23:36,2016-01-01 00:40:33,N,1,-73.918258666992187,40.741100311279297,-73.883567810058594,40.756008148193359,2,3.86,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,2016-01-01 00:23:33,2016-01-01 00:40:18,N,1,-73.982658386230469,40.665275573730469,-73.9842529296875,40.607620239257813,1,5.06,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,2016-01-01 00:35:32,2016-01-01 00:40:53,N,1,-73.865791320800781,40.736736297607422,-73.862030029296875,40.749732971191406,5,1.03,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2016-01-01 00:21:04,2016-01-01 00:40:52,N,1,-73.993988037109375,40.681522369384766,-73.965988159179688,40.713645935058594,1,6.21,21,0.5,0.5,4.46,0,,0.3,26.76,1,1
2,2016-01-01 00:23:40,2016-01-01 00:40:01,N,1,-73.866455078125,40.831783294677734,-73.92083740234375,40.829524993896484,1,4.76,16.5,0.5,0.5,0,0,,0.3,17.8,2,1
2,2016-01-01 00:33:49,2016-01-01 00:40:42,N,1,-73.896492004394531,40.746181488037109,-73.884780883789062,40.757671356201172,1,1.32,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-01-01 00:17:07,2016-01-01 00:41:09,N,1,-73.976646423339844,40.682773590087891,-73.855621337890625,40.722080230712891,1,10.00,29.5,0.5,0.5,6.16,0,,0.3,36.96,1,1
